,embedding
10,"[0.0269864779, 0.0639426634, 0.8838320971, -0.037214897600000005, -0.0906506255, -0.3331579268, 0.6631625891, -0.12643381950000002, -0.132038191, 0.7661418319000001, -0.0154452901, -0.5572772026, 0.1402062029, -0.6384330392, 0.1919630319, 0.6551204324000001, 0.1386181861, 0.0284183808, 0.2329374254, -0.0557257347, 0.12323115770000001, -0.2919017971, -0.28222370150000003, 0.1146626547, 0.1965788007, -0.50586766, 0.2689118385, -0.2110768557, 0.3358169198, -0.1619917303, 0.0270717442, 0.34723967310000003, -0.020548854000000002, 0.010199467700000001, -0.0853889734, 0.20664827530000002, -0.4104281664, -0.26057356600000003, 0.1351826489, -0.1384921819, 0.0391613394, 0.0499221049, 0.5077860355, 0.0713062808, 0.1787717938, -0.0262914859, -0.2096558362, -0.7771523595000001, 0.027587771400000002, 0.0792150423, -0.2576722801, 0.13550245760000001, -0.3081410229, -0.3499779999, 0.8273146152, -0.027997423, -0.41116493940000004, -0.1166322976, 0.0433343276, -0.3152677119, -0.23299214240000002, -0.0575950295, -0.5340362787, -0.0109088793, 0.6564034820000001, 0.0684975013, -0.08072872460000001, 0.014376938300000001, 0.2314727306, -0.0376817174, 0.007222978400000001, -0.1364722699, 0.0930772871, -0.1828404069, -0.2657907605, 0.1519583166, 0.2733672559, -0.0200256035, -0.37283393740000004, 0.0871422589, -0.0476556644, -0.6354870796000001, -0.2122429758, 0.0283442643, 0.0727616921, -0.1017602757, 0.5276336074, -0.0545984022, -0.21074238420000002, -0.0427049212, 0.45946124200000005, -0.2445070148, -0.1208128482, -0.0940810069, 0.0878436863, -0.16496735810000002, 0.0019628201, -0.2318605632, 0.7228710055, -0.0287161469, -0.2196983993, -0.11355014150000001, 0.3112108111, 0.37497356530000003, 0.2981773019, 0.19878335300000002, 0.0310830809, 0.18620012700000002, 0.3606584966, -0.4247303009, -0.0169934519, 0.47219216820000004, 0.2033390105, 1.0130466223, 0.1692452133, -0.025975719100000003, -0.0476715937, -0.19817022980000001, -0.0321684442, 0.2612721324, -0.2704695761, -0.0980043337, 0.07748472690000001, -0.3850586414, 0.3007888198, -0.06845162810000001, 0.727804184, 0.0566242635]"
11,"[0.0651198328, -0.21215412020000002, 0.2064272463, -0.0006350086, 0.0089147082, 0.0542960018, 0.22329635920000002, -0.4438888133, -0.11312281340000001, 0.0085512064, -0.2652730048, -0.3722708523, 0.1197110489, -0.2661014497, 0.3521850407, 0.47845244410000004, 0.1270434707, 0.0038875253000000003, 0.3153032959, -0.2641186118, 0.3007048368, -0.1388251334, -0.1771153957, -0.2281583995, 0.1091201007, -0.3317917287, -0.11167353390000001, -0.122261636, -0.0184426978, -0.3087019324, -0.06412602960000001, 0.4780994952, 0.12686795, 0.0670050979, -0.0470823832, 0.242454052, -0.1087039858, -0.1973581314, 0.07600756730000001, 0.1165854335, 0.1765730381, -0.2690238357, 0.4449155033, -0.2027663291, -0.16302792730000001, -0.1667653322, -0.2463485897, -0.22960330550000002, -0.034883309200000004, 0.0186244622, -0.1790592074, -0.096765101, 0.0129324533, -0.022553093700000002, 0.6008372307000001, -0.3033578992, -0.023768169800000002, -0.08796631540000001, -0.1515539736, 0.1590549499, -0.3408776224, 0.0493460596, -0.1603631079, 0.0285627432, 0.4572152197, -0.141829893, 0.1658122391, 0.1455369592, 0.2099946737, -0.1724397987, 0.1555228978, -0.1001614779, 0.028186105200000002, -0.12943448130000001, 0.129693523, -0.1646229327, 0.3540357947, -0.0493267924, -0.0513932407, 0.0230248366, -0.18880403040000002, -0.09038706120000001, -0.1350349337, 0.1956910789, 0.0483191386, -0.0405483171, -0.1849562377, 0.0276644342, -0.1674003899, 0.061916369900000004, 0.0620555878, -0.1972171366, -0.1757907569, -0.012771336400000001, 0.07167571040000001, 0.2327617258, 0.0971844792, 0.0585096702, 0.3688919544, -0.2405747473, -0.1311881244, 0.20870293680000002, 0.1146799102, 0.3202127218, 0.3942043483, 0.1422748566, 0.3169212341, 0.23565533760000001, 0.3015885055, -0.0023008026, -0.0209313948, 0.3116639256, 0.1629179865, 0.392334342, 0.28368827700000004, -0.0435355268, -0.0186462272, 0.29545289280000003, -0.049770973600000004, 0.1690618992, -0.11799106000000001, 0.0879192725, 0.1181163043, -0.2011583894, -0.0049459743, -0.0180956908, 0.2166966647, 0.0404227749]"
12,"[-0.0855633616, 0.051899597000000006, 0.6923258305000001, -0.065105468, -0.10901218650000001, 0.0184085704, 0.5360200405000001, -0.2613686621, -0.1459728777, 0.6181436777, -0.22164745630000002, -0.3634334803, 0.1324248761, -0.4006474614, 0.2437842339, 0.40243655440000003, 0.0516311452, 0.0340854302, 0.2571907043, -0.219907552, 0.47356829050000004, -0.32973921300000003, -0.1848278642, -0.017966006, 0.20646807550000001, -0.3277448416, 0.1580369025, -0.0787865371, 0.2192817032, -0.19736310840000001, -0.0746864304, 0.4175847173, 0.0231015813, -0.0844362527, 0.051915913800000005, 0.2804102898, -0.1312454939, -0.2998910546, 0.1511752456, 0.0124017894, 0.1167014688, -0.0514560826, 0.4860357642, -0.1351856291, 0.154012695, -0.36293801670000003, -0.388070792, -0.6436408162, 0.1061571464, -0.0518119298, -0.3565544486, 0.0497220159, -0.0630242601, -0.1905960739, 0.5681504011, -0.20100383460000001, -0.2086482942, -0.4133740067, -0.21530139450000002, -0.2702055573, -0.6220225692, -0.1412485987, -0.4534345865, 0.1666354686, 0.6765987277000001, -0.1282513738, -0.0746337175, -0.08498395980000001, 0.2421655953, -0.4194485545, 0.11621201040000001, -0.0786820948, 0.1589865685, -0.065958783, -0.0136570344, -0.08035855, 0.327483207, -0.1151707768, -0.0587654151, 0.0583732948, -0.09490911660000001, -0.3606878519, -0.2740465701, 0.3587787747, 0.0199287497, 0.0126920808, 0.28237459060000003, 0.0433220454, -0.12335376440000001, 0.0655017346, 0.48143523930000004, -0.4057071209, -0.0118541596, 0.0932965577, 0.2574886382, 0.040162012000000004, 0.1404801607, -0.039651967600000004, 0.6442156434, 0.24133183060000002, -0.3448463082, 0.2397061288, 0.2516151965, 0.3558281064, 0.40979456900000005, -0.0057485662, -0.0439168364, 0.0310228094, 0.5064780712, -0.47093272210000003, -0.25063878300000003, 0.6640952229, 0.49195125700000003, 0.6415031552, 0.4185078144, 0.0497453772, -0.1734850705, -0.2469914705, 0.0297621135, 0.2887537181, -0.1666585058, -0.14559432860000002, -0.0648892745, -0.1306073964, 0.33781668540000004, 0.0263411365, 0.4613956213, -0.1372894943]"
13,"[-0.0582798459, -0.0065960456, 0.5353947282, 0.2800908089, -0.1200798824, -0.0400232747, 0.6767612696, -0.3783583045, -0.0831038952, 0.35487550500000004, -0.1392565519, -0.38903516530000004, 0.0260345787, -0.5425943136, 0.1926081181, 0.4140906036, 0.07741724700000001, -0.08569746460000001, 0.0769894123, 0.0129859187, 0.2246322185, -0.3534553051, -0.2644143403, -0.0488715619, 0.1494415551, -0.2824604213, 0.2672573328, -0.0756489784, 0.1877352148, -0.0304632299, -0.152246654, 0.1973482519, 0.2078177333, 0.198606953, -0.16645129020000002, -0.0259393062, -0.236789301, -0.042709969, 0.0647425279, -0.1644777358, 0.1616886258, -0.2937614918, 0.5421047807, -0.07081955670000001, 0.1178808734, -0.24809996780000002, -0.32787624, -0.6669789553000001, -0.0475387946, -0.024214163400000002, -0.0963382572, -0.0554971769, -0.0736495107, -0.1251564473, 0.7187992334000001, -0.1072385907, -0.2271457613, -0.21001657840000001, 0.029082045, -0.3305867314, -0.4151578248, -0.1552142948, -0.4125813544, 0.044340819100000005, 0.5612075925000001, -0.0129577275, 0.0401615798, -0.07924357800000001, 0.30749452110000003, -0.0342142172, -0.0553004034, -0.20048755410000002, 0.1543218493, -0.0675661266, 0.15463435650000001, -0.08576529470000001, 0.3365202546, -0.0018066335000000002, -0.18789558110000001, -0.08620753140000001, -0.0195695739, -0.2137781382, -0.5196998119, 0.028572447600000002, -0.0280844867, 0.0947314352, 0.3112802207, 0.08191131800000001, -0.1039931625, 0.0268917065, 0.2111315429, -0.2389333397, -0.2375204712, -0.14294146, 0.33263519410000003, -0.0670806766, -0.0803178772, -0.0759313405, 0.40700235960000003, -0.0568077117, -0.25393468140000003, -0.06298387800000001, 0.023271562500000002, 0.205891192, 0.2790582478, -0.0374574848, 0.0853040665, 0.2151872665, 0.1878463924, -0.1431583762, -0.08548790220000001, 0.3741301596, 0.5819120407, 0.4411337078, 0.30091461540000003, -0.0765564293, 0.08534865080000001, 0.048029989, -0.0583202727, 0.1749952585, 0.18862378600000002, -0.1417087018, 0.059983890500000005, -0.3996154964, 0.1324279308, -0.1566927433, 0.3523732126, -0.2146451026]"
14,"[-0.0053935158, 0.0756195337, 0.4106710851, 0.1439047158, 0.0645110235, -0.202905938, 0.3724031746, -0.1142755896, 0.0641862378, 0.5016861558, 0.0233033895, -0.3196968436, -0.0058473572, -0.5040967464, 0.38335046170000003, 0.42828500270000003, 0.06774174420000001, -0.22431115810000002, 0.2680196762, 0.0531451181, 0.0955513716, -0.2867552042, -0.2979813516, 0.0932601467, 0.0188564695, 0.0532319993, 0.26128035780000003, 0.1218245327, 0.1020273045, 0.0380260311, 0.0071674618, 0.5229985714000001, 0.19252136350000001, 0.1211199984, -0.14459347720000001, 0.0334490947, -0.3290512264, 0.0764537156, 0.2107090503, -0.1319116056, 0.1772538424, -0.1546117365, 0.5749325156, -0.10829069470000001, 0.16129593550000002, -0.024338048, -0.1772520542, -0.5660117269, 0.18358580770000002, 0.039498128, -0.1229835823, 0.0890089497, -0.1507953554, -0.2634341717, 0.5552899837, 0.003283811, -0.2810744643, -0.3628737628, -0.1710287929, -0.2619643211, -0.2706148922, -0.1075250804, -0.3336117864, -0.0288555175, 0.567673564, -0.13318875430000002, 0.1138997078, -0.013418409000000001, 0.1740727276, 0.060774758500000005, 0.0024588979, -0.0232986771, 0.21676832440000002, -0.07340449090000001, -0.0711671188, 0.043258145500000005, 0.2688949108, 0.0900054872, -0.1711143553, 0.1492017806, -0.0808444992, -0.2785626948, -0.1418389678, 0.1306642741, 0.0556139126, 0.0742209181, 0.3718705177, 0.0483340099, -0.1879049689, -0.1874438971, 0.3841999471, -0.0571185611, 0.0533014089, 0.0049717054, 0.2643114924, 0.0087775588, 0.0452399328, -0.2671245337, 0.3367191553, 0.0183171034, -0.2164100856, 0.0896504894, -0.033797934700000004, 0.20777420700000002, 0.5057330728, -0.0224853978, 0.0729216188, 0.2251719534, 0.2892148197, -0.2626595199, -0.12400776150000001, 0.49932107330000003, 0.2892737985, 0.5571591854, 0.389791131, -0.0861347541, 0.0005570818, -0.127251938, -0.0744408518, 0.1795586944, -0.109490186, -0.1805326939, 0.0897485316, -0.5006560087, 0.0530549362, -0.2029505372, 0.4728348553, 0.15013939140000002]"
15,"[0.1276146621, -0.0312901214, 0.4911219478, -0.1435330212, -0.0828447342, 0.0903478563, 0.4728249907, -0.32667747140000003, -0.2431643605, 0.7279729247000001, -0.2880102396, -0.3122796416, 0.0966981575, -0.3709467053, 0.2968466878, 0.2723221481, 0.099738881, -0.20673087240000002, 0.1772018522, 0.2235340029, 0.2154648602, -0.3484367728, -0.4737775028, 0.0404216684, -0.0700013787, -0.2514713109, 0.1567597091, 0.09298162160000001, 0.2712403834, 0.14260813590000002, -0.1212379113, 0.1982713193, 0.2773854136, 0.1287136823, -0.0724261776, 0.1488998234, -0.19563603400000001, 0.0189195201, 0.0587950796, 0.1180498898, 0.0049887644, -0.2423132509, 0.6572161913, -0.1903156638, 0.054764214900000004, -0.0441460162, -0.18287366630000002, -0.45601698760000003, 0.0712485015, -0.0053793788, -0.22188104690000002, 0.0031262897, 0.0695328414, -0.0835380852, 0.5226402283, -0.3506073058, -0.3844815493, -0.16700357200000002, -0.1307961345, -0.2574382722, -0.3080550432, -0.040327847, -0.47511836890000003, 0.0518753901, 0.5554355383, -0.1172341108, 0.0524132252, 0.0072300108000000005, 0.24731039999999999, -0.0622886792, -0.0229460634, -0.1440497786, 0.1802035719, 0.035818915800000004, -0.1842254251, 0.1728894114, 0.30417391660000004, -0.17180512850000002, -0.143396467, -0.044214643500000005, -0.0445793867, -0.2884431183, -0.2022133619, -0.008555930100000001, 0.11501582710000001, 0.042777679900000004, 0.1306490898, -0.3048199415, -0.22219468650000002, -0.1017971188, 0.0950629711, -0.3524535298, -0.0731476769, -0.08485376830000001, 0.1972288936, -0.0459876731, 0.0025655925, -0.1206754446, 0.2477192283, -0.0618562251, -0.2752755284, 0.1628835052, 0.2082659155, 0.2660585046, 0.5379937291, 0.0564712957, -0.09218008820000001, 0.0952626318, 0.279320091, -0.3043337464, -0.48233142500000004, 0.2879449427, 0.3037306964, 0.4853634238, 0.3337378502, 0.0904140845, -0.0940915048, -0.2216952443, -0.009675283, 0.1885088533, -0.0719868764, 0.0163588151, 0.0940320268, -0.4311207533, 0.0270522758, 0.060779258600000004, 0.4301567972, 0.0269046426]"
16,"[-0.1067735627, -0.1082673371, 0.6306107044, -0.0065454133000000005, -0.0363306105, 0.1473056674, 0.21817110480000002, -0.1752756834, -0.220984906, 0.4105476737, -0.33762776850000004, -0.3298596144, 0.106826663, -0.3064379692, 0.1833326817, 0.34773609040000003, 0.0093273195, 0.1899261475, 0.1738474965, -0.0587548763, 0.1369566172, -0.22952385250000001, -0.3399224877, -0.0347448662, 0.1410536915, -0.2831143141, 0.1286041439, -0.031376496000000004, 0.0945869312, -0.0275170915, 0.21687549350000002, 0.3023398221, 0.1817290783, -0.018330439900000002, -0.09457207470000001, 0.1362943798, -0.2319887877, -0.0956815109, -0.082609266, 0.0276270173, 0.1154322997, -0.1843396425, 0.1655863076, -0.1761334091, 0.1000935584, -0.18510757390000002, -0.18688273430000002, -0.5578534007, 0.09237098690000001, 0.0627538338, -0.3474114239, 0.057914368800000005, 0.1997631639, -0.13898549970000001, 0.4501076639, -0.202472806, -0.184962377, -0.17960262300000002, 0.0595328696, 0.014688333500000001, -0.21625246110000002, -0.0448616743, -0.4168896675, 0.1183238477, 0.2987006307, -0.052857816200000005, 0.1795349419, 0.11741586030000001, 0.1904688179, 0.053624868400000004, 0.0543825701, -0.1624910533, 0.2179190516, -0.3399928808, -0.1875361055, -0.11711297180000001, 0.3030984402, -6.56545e-05, -0.088825345, -0.17504569890000002, -0.1253961474, -0.41471147540000003, -0.2521169186, 0.1850515306, 0.1059702113, -0.1508978903, 0.293561101, -0.21643777190000002, -0.1536076516, -0.2799400687, 0.024423383200000003, -0.1688672155, -0.1418223679, -0.0950598344, 0.0491054989, -0.060290504200000004, 0.0028712656000000002, -0.1294871122, 0.36703735590000003, -0.18008060750000002, 0.1556772441, 0.1060635597, 0.1553070545, 0.5894248486, 0.3735064864, 0.1086918563, -0.0579487234, 0.1685955971, 0.4341723919, -0.2106967717, -0.1398997009, 0.4912798405, 0.145017907, 0.34033045170000004, 0.09991335870000001, 0.060686901200000004, -0.3686605096, 0.019382745, 0.1713074744, 0.1773260832, -0.2349854708, 0.0948424935, 0.0786212757, -0.0816649869, -0.06602442260000001, -0.1798973978, 0.1424508244, -0.0366010815]"
17,"[0.278867662, 0.0430342145, 0.5017106533, 0.3022010028, -0.1639517546, 0.0916907862, 0.6116145849, -0.3070213795, -0.2061325312, 0.400211066, -0.22283881900000002, -0.3215649426, 0.21247306470000002, -0.5683014393, 0.12884396310000001, 0.43646118040000004, 0.16604553160000002, -0.08783388140000001, 0.2745331526, -0.1096073538, 0.2496108115, -0.5105571151, -0.170126617, 0.0375174806, 0.117782414, -0.2458179295, 0.0448812582, -0.056856174, 0.3239793181, -0.13422383370000002, 0.137110129, 0.0879779458, 0.2458386123, 0.1696152836, -0.1661872864, 0.0141024906, -0.2694029808, -0.0493872464, 0.0064719762, 0.0129675558, 0.225251317, -0.0971968845, 0.6078963876, -0.0828988031, 0.0180328134, -0.2009832412, -0.3011296093, -0.5838738084, 0.0974345952, -0.0317670107, -0.2210447639, -0.0283742677, -0.06328222900000001, -0.1987651736, 0.6080189943000001, -0.1710790992, -0.1852390468, -0.1113632023, 0.064764291, -0.2309369892, -0.4810923636, -0.2045796514, -0.4124473333, 0.0134804342, 0.6703521609, -0.2201587707, 0.18039587140000002, -0.1332779825, 0.2797487676, -0.21896810830000002, -0.044209208300000004, -0.1241109818, -0.0168992057, -0.0773357749, 0.1932701766, -0.0065898858000000005, 0.28328466420000004, 0.0318317115, -0.20342436430000002, 0.0431825146, -0.0694749355, -0.1785984635, -0.2653956115, -0.0680799112, 0.0001913626, 0.1751024276, 0.2852785587, -0.1343233138, -0.18794791400000002, -0.1463412195, 0.2082860917, -0.5120340586000001, 0.0224828012, -0.1914727837, 0.3321217597, 0.0553821065, -0.035604205, 0.0205965359, 0.5037766695, 0.06694348160000001, -0.1114383489, -0.08313042670000001, 0.10696043820000001, 0.320430249, 0.3950905502, -0.08249522000000001, 0.1319242269, 0.0780787691, 0.33077618480000004, -0.3737005591, -0.1207285225, 0.5572807789, 0.4129514098, 0.6982684135, 0.36044570800000003, -0.0972189084, 0.0717037097, 0.0252582729, -0.0133230854, 0.1230511516, 0.1053578332, 0.07945100220000001, 0.2654059529, -0.47276839610000004, 0.15199051800000002, -0.2725843191, 0.7281105518000001, -0.1673941165]"
18,"[0.059470694500000004, 0.0903205276, 0.5807044506, -0.0339479372, -0.0888928995, 0.058416675800000005, 0.6619654298000001, -0.44375303390000004, -0.1065744832, 0.4776546359, 0.10619008540000001, -0.5341422558, 0.13886003200000002, -0.6196143627, 0.2012265474, 0.5496129394, 0.1258348674, -0.0164067093, 0.36742687230000004, -0.0630406439, 0.42549368740000004, -0.3091104031, -0.2473490536, 0.0492700338, 0.1851293594, -0.2443287522, 0.2883608639, 0.0404841118, 0.040357843000000004, -0.2041665316, -0.13856710490000002, 0.5113537312, 0.3095398545, -0.15955923500000002, 0.0795358494, 0.2166070193, -0.1571162045, -0.071739018, 0.0019761194000000003, -0.0901081935, 0.1364158839, -0.0996867791, 0.6267168522000001, -0.0477810241, -0.0079246545, -0.3507192731, -0.2916557789, -0.4854732752, 0.2349728942, 0.0017047897, -0.2420494258, 0.0754040331, -0.0348782428, -0.2608285248, 0.6381505728, -0.026394203300000002, -0.20865221320000002, -0.2078155428, -0.2863928676, -0.1443410516, -0.3731175363, 0.067355603, -0.3759049773, 0.1139778271, 0.6479668617000001, -0.2526642382, 0.1630878896, -0.0388387479, 0.12461208550000001, -0.1691565514, 0.2489042133, -0.2224711925, 0.0055159889, -0.1504838467, -0.054659605, 0.1756184697, 0.2705077529, 0.21988420190000002, -0.22864650190000002, 0.0350362659, -0.2604297101, -0.5643892884, -0.1870720088, 0.0886174068, -0.1091613397, 0.0605009943, 0.38161116840000003, 0.0394555554, -0.1691518128, -0.1428813338, 0.5601425171000001, -0.6240195036, -0.20092229550000001, -0.0944791138, 0.3690519929, -0.0622835681, -0.2214154005, 0.0109451376, 0.5485504866, -0.0538585186, -0.1031109169, -0.1470864713, 0.2049888223, 0.3297504485, 0.7971664667, 0.1456326544, 0.22976109390000002, 0.1839823276, 0.4383595884, -0.1126120687, -0.040245235000000004, 0.6114975810000001, 0.2643833756, 0.6849331856, 0.1965887845, -0.0068192370000000006, -0.2240633816, -0.1598523855, 0.062124922900000004, 0.24573290350000002, -0.23178945480000002, 0.2180440575, 0.1254729778, -0.3024291396, 0.175867945, 0.0359452143, 0.6971234679, 0.1260936409]"
19,"[0.12690633540000001, 0.070777908, 0.8142507672, 0.0800291449, -0.058878243000000004, 0.084606573, 0.3154112995, -0.0551006533, 0.058399193, 0.440818578, -0.2561327517, -0.25832730530000003, 0.1362166703, -0.38534033300000003, 0.17420816420000002, 0.4831014276, 0.057004332500000005, 0.1069965065, 0.4104911685, -0.1196021587, 0.1603854895, -0.27019941810000003, -0.2130486816, -0.0836292282, 0.1547847092, -0.4450676441, 0.2143360823, -0.1080392748, 0.0136183575, -0.1468044966, -0.006959728, 0.3761559129, 0.1974039823, 0.0326031968, 0.0468793288, 0.2205181122, -0.29852193590000003, -0.1851689219, 0.1501751542, -0.0444296412, 0.0930825919, -0.0901485682, 0.349663645, -0.10285579410000001, -0.0608212538, -0.07859247920000001, -0.0538419113, -0.5575894117, 0.07192176580000001, 0.12357340750000001, -0.37297964100000003, 0.038725093, -0.1600257307, -0.11890952290000001, 0.41860917210000004, 0.1020540595, -0.2238098383, -0.1231719181, -0.209601745, -0.017955627300000002, -0.44875741, 0.07366465030000001, -0.1681167036, -0.0338165946, 0.40745851400000005, -0.0112458225, 0.1333606839, 0.11151060460000001, 0.2751680315, 0.08848921950000001, -0.128339693, -0.157150954, 0.127327919, -0.24984064700000003, -0.11014835540000001, 0.0785571486, 0.1577515155, -0.0892467275, -0.258756876, -0.1162904948, -0.1789833605, -0.4024486244, -0.1555664092, 0.1648802608, 0.021720131900000002, -0.1996995211, 0.2605934441, -0.118811205, -0.21169342100000002, -0.24265471100000002, 0.2625093162, -0.3236312568, -0.1778541207, -0.0713309646, 0.091254808, -0.047540683300000004, 0.0979630202, 0.028718072900000002, 0.47261685130000003, -0.09376943110000001, -0.0109383147, 0.12261780350000001, 0.2203643173, 0.3180787563, 0.44548481700000003, -0.0020111036, 0.1191191077, 0.1949608922, 0.5280555487, -0.3629934788, 0.17945836480000002, 0.49720561500000005, 0.2398444116, 0.6018255353, 0.3272130191, 0.1607101411, -0.295108974, 0.065055348, -0.0322605558, 0.0425207242, -0.1202597246, 0.12820214030000002, 0.1358795464, -0.2799502909, 0.1907681376, 0.0573635027, 0.3810426891, 0.0630913973]"
20,"[0.0205939859, 0.0679007173, 0.6305020452, 0.0709510297, -0.2130262554, -0.1205576211, 0.44824627040000004, -0.069651261, -0.2571864128, 0.5617839098, -0.2748889029, -0.1870789528, -0.0067741983, -0.48461040850000003, 0.27525359390000004, 0.4819713235, 0.19678571820000001, 0.0908920988, 0.1917859465, 0.2185639888, 0.325597167, -0.2548461258, -0.2398565263, -0.07293274250000001, 0.09730257090000001, -0.6015245318, 0.1192793548, -0.0683242679, 0.1217051744, -0.1378308684, -0.1340396851, 0.19866389040000001, 0.2607933879, 0.1083063185, -0.026910916, 0.1030029878, -0.3146394193, -0.320445329, 0.1473519653, -0.1336041987, 0.0926050246, -0.088510111, 0.3559664488, 0.1138415039, 0.12116442620000001, -0.20393021400000003, -0.3624222279, -0.7573915124, 0.0053074621, -0.07870268080000001, -0.1566656083, 0.1399357468, -0.2322843075, -0.1432947069, 0.737670362, -0.2825757265, -0.2051437795, -0.2453817874, 0.1933552623, -0.3060000241, -0.39797368650000003, -0.03163068, -0.5215876102, 0.0986345559, 0.702895999, -0.0944821388, 0.1195832789, 0.0005794596, 0.2691949904, -0.20729506020000002, -0.0649733245, -0.1629898846, 0.0401503593, -0.1344051957, -0.0693790615, -0.042558573200000005, 0.3360306323, 0.051296331, -0.31058961150000003, -0.0785144717, -0.0950219482, -0.23661267760000002, -0.4028785825, 0.1208118349, 0.09195593, 0.2581039965, 0.3649900854, -0.0022571385000000003, -0.13679690660000002, -0.0894804448, 0.3707948327, -0.3289795518, 0.1374569833, -0.1378183514, 0.25641313200000004, 0.0033326019, -0.0431080572, -0.07512859999999999, 0.6796966195, -0.1520750374, -0.3827288151, -0.0365054458, 0.1428678781, 0.3839966953, 0.1349539757, 0.2699580491, 0.040514528800000005, 0.2411019653, 0.25183123350000003, -0.3248399496, -0.2000576705, 0.3785768449, 0.43058189750000003, 0.752389729, 0.2713486552, 0.062447480900000005, -0.0870860443, -0.20483231540000002, -0.1312491894, 0.1882377416, 0.0579660684, -0.0561016947, 0.18000845610000002, -0.4595776796, 0.2851406634, 0.0757649392, 0.6563476324, -0.0464182198]"
21,"[0.0596884824, 0.40339547400000003, 0.470661521, 0.060637518800000005, -0.3899848461, -0.1425056607, 0.4808656573, -0.1731206328, -0.25128814580000003, 0.5266396403, -0.24392387270000002, -0.3833492696, -0.1920770407, -0.6444827318, 0.1267658472, 0.3742560446, 0.2669197917, -0.1076855958, -0.028285183000000002, -0.07222756, 0.3379136622, -0.4090343118, -0.4634687006, -0.0947619006, 0.1531124264, -0.4388122857, 0.0127652241, -0.12235166130000001, 0.126289919, -0.2566970885, 0.07423631850000001, 0.2195688039, 0.17376728360000002, 0.12278304990000001, 0.0395631455, 0.0545735061, -0.004837267100000001, -0.19323113560000002, -0.0324129947, -0.042132806, 0.34769496320000004, -0.0713021234, 0.7849729061, 0.146224618, 0.1790208369, -0.2737903893, -0.0052811187, -0.5760481358, 0.13852480050000002, -0.0028726426, -0.4099599123, 0.20470857620000002, -0.07610224930000001, 0.038774974600000005, 0.700052619, -0.2656869888, -0.06571805480000001, -0.3070179522, 0.008953897300000001, -0.1670846939, -0.5092505217000001, -0.167716831, -0.1856000572, 0.1438636184, 0.6168077588, -0.091760911, 0.08125837150000001, 0.0529679656, 0.20075984300000002, -0.3019705713, 0.0023291251, -0.0063072084, -0.026852753, -0.0569940358, -0.1516694725, 0.061877764800000006, 0.2039016038, 0.1374145299, -0.13646015520000002, -0.0092817144, 0.0798517019, -0.2654996812, -0.21343334020000002, -0.1750127524, -0.0467831492, 0.3443333209, 0.5547969937, -0.049807850300000005, -0.051230602, 0.0692613497, 0.1497398466, -0.1860161871, -0.0006836914, -0.2789602578, 0.224514395, 0.19777691360000002, -0.074438639, -0.0396527573, 0.48592585330000004, 0.0281692557, 0.0147479624, 0.074158214, -0.1626457274, 0.1585492492, 0.3035326004, -0.041810721200000005, -0.3161916137, 0.21893627940000002, 0.4580146372, -0.2993801534, -0.15492233630000002, 0.5715732574, 0.4289286733, 0.5762327909, 0.4100295007, 0.12722967570000002, -0.1809179783, -0.2214565426, -0.39975106720000003, 0.21763896940000002, 0.12351706620000001, -0.07025679950000001, 0.1138418764, -0.5259954929, -0.0181675646, 0.06607303020000001, 0.5616085529, -0.1321118325]"
